Data,open ,high,low ,close ,volume
2022.10.28,2564.5,2566.3,2560.6,2563.4,1031
2022.10.31,2564.7,2574.4,2550.3,2550.3,3381
2022.11.01,2551.13,2579.8,2539.83,2574.6,5648
2022.11.02,2576.09,2584.7,2559.82,2573.14,4682
2022.11.03,2572.5,2591.6,2569.98,2590.36,2539
2022.11.04,2588.7,2600.76,2575.2,2596.5,4333
2022.11.07,2607.49,2610.3,2583.44,2583.87,3011
2022.11.08,2585.6,2638.1,2577.08,2628.74,7891
2022.11.09,2629.73,2660.24,2622.03,2652.34,5382
2022.11.10,2652.91,2671.46,2644.69,2649.52,5016
2022.11.11,2654.5,2658.1,2628.8,2640,4411
2022.11.14,2637.99,2646.96,2626.31,2640.49,3881
2022.11.15,2641.8,2647.74,2607.69,2629.33,6764
2022.11.16,2631.2,2639.5,2618.19,2629.36,4079
2022.11.17,2629.71,2653.7,2621.03,2629.9,6516
2022.11.18,2629.78,2633.77,2617.5,2621.1,2387
2022.11.21,2622.4,2638,2618.91,2629.7,3089
2022.11.22,2630.8,2637.29,2614.61,2614.71,2928
2022.11.23,2615.78,2621.1,2592.74,2595.87,3682
2022.11.24,2597.27,2609.11,2591.46,2593.32,3136
2022.11.25,2592.87,2603.3,2590.48,2600.51,1801
2022.11.28,2608.91,2629.78,2604.41,2615.92,4374
2022.11.29,2615.7,2622.1,2602.1,2613.5,3781
2022.11.30,2616.2,2621.84,2595.81,2604.4,4027
2022.12.01,2603.41,2653.51,2602.42,2645.12,6048
2022.12.02,2646.09,2649.89,2630.58,2645.3,3784
2022.12.05,2644.4,2646.77,2627.52,2638.4,3251
2022.12.06,2637.96,2650.53,2629.68,2646.09,3358
2022.12.07,2646.43,2659.82,2641.79,2654.46,2804
2022.12.08,2655.37,2661.56,2639.75,2641.99,3025
2022.12.09,2641,2658.36,2638.31,2643.3,3781
2022.12.12,2640.12,2653.44,2635.51,2637.5,3325
2022.12.13,2637.81,2647.61,2630.05,2639.24,3370
2022.12.14,2639.77,2654.57,2627.6,2632.3,4648
2022.12.15,2633.51,2661.99,2609.4,2649.53,8917
2022.12.16,2648.69,2682.2,2646.4,2679.89,4041
2022.12.19,2676.2,2680.46,2662.17,2665.48,2587
2022.12.20,2667.86,2733.67,2661.08,2719.71,9334
2022.12.21,2718.72,2726.9,2702.53,2704.2,3423
2022.12.22,2703.62,2706.93,2680.04,2685.8,3597
2022.12.23,2685.38,2689.89,2672.77,2677.6,2647
2022.12.27,2673.88,2711.55,2666.13,2691.93,7280
2022.12.28,2692.58,2695.92,2653.76,2675.94,6769
2022.12.29,2675.74,2693.21,2673.63,2675.2,3863
2022.12.30,2678.57,2687.72,2667.66,2674.2,3576
2023.01.03,2684.2,2743.09,2681.3,2731.49,7630
2023.01.04,2730.57,2735.83,2698.18,2711.1,5584
2023.01.05,2711.18,2725.56,2700.11,2713.16,4893
2023.01.06,2710.8,2737.41,2707.68,2712.8,5747
2023.01.09,2714.1,2719.01,2695.45,2705.59,3862
2023.01.10,2705.57,2731.55,2703.76,2722.21,3895
2023.01.11,2720.36,2733.03,2703.73,2714.14,5239
2023.01.12,2713.61,2737.56,2712.78,2721.5,4168
2023.01.13,2719.03,2758.67,2716.69,2748.76,5424
2023.01.16,2752.3,2755.31,2741.3,2753.3,2703
2023.01.17,2752.5,2754.59,2726.6,2730.79,3428
2023.01.18,2729.4,2745.2,2711.27,2740.26,5701
2023.01.19,2742.9,2797.26,2740.29,2793.83,6302
2023.01.20,2793.74,2796.49,2760.34,2761.33,3990
2023.01.23,2761.1,2769.53,2732.27,2746.84,6027
2023.01.24,2746.57,2764.08,2739.32,2747.64,4846
2023.01.25,2750.02,2755.28,2711.08,2738.3,7669
2023.01.26,2738.34,2741.98,2709,2709,3663
2023.01.27,2708.99,2721.25,2701.15,2709.7,3950
2023.01.30,2711.87,2728.68,2704.79,2721.5,3816
2023.01.31,2721.79,2741.9,2713.01,2730.96,4862
2023.02.01,2733.81,2739.64,2717,2730.87,4235
2023.02.02,2734.44,2745.68,2698.31,2700.1,6041
2023.02.03,2700.39,2722.7,2678.73,2692.1,7966
2023.02.06,2691.8,2726.14,2689.8,2710.33,5416
2023.02.07,2710.52,2718.36,2683.6,2689.38,4839
2023.02.08,2686.91,2711.3,2686.9,2706.35,2937
2023.02.09,2707.21,2708.84,2679.62,2681.6,3284
2023.02.10,2682.72,2697.17,2675.24,2693.9,3269
2023.02.13,2695.2,2699.73,2656.3,2658.59,5026
2023.02.14,2659.88,2675.31,2648.74,2651.87,4514
2023.02.15,2653.17,2673.77,2651.95,2658.86,3796
2023.02.16,2658.03,2674.48,2652.05,2667.37,3553
2023.02.17,2671.19,2683.87,2662.79,2676,3736
2023.02.20,2677.4,2680.03,2662,2662.9,2157
2023.02.21,2664.7,2681.81,2660.7,2674,3293
2023.02.22,2673.56,2696.8,2673.46,2679.89,4036
2023.02.23,2680.08,2685.26,2668.79,2675,2787
2023.02.24,2674.7,2697.58,2674.67,2690.4,3013
2023.02.27,2691.5,2705.57,2688.9,2694.3,3055
2023.02.28,2695.36,2717.12,2683.68,2713.5,4875
2023.03.01,2711.43,2731.31,2706.99,2716.69,4339
2023.03.02,2717.24,2735.35,2715.21,2725.1,3243
2023.03.03,2725.93,2742.18,2724.27,2739.9,2186
2023.03.06,2743.22,2753.59,2739.11,2741.5,2725
2023.03.07,2742.39,2764.41,2739.31,2752.89,3971
2023.03.08,2750.98,2757.65,2744.5,2750.63,2596
2023.03.09,2751.78,2781.7,2740.3,2775.8,5879
2023.03.10,2778.19,2843.2,2772.28,2834.55,8549
2023.03.13,2834.55,2870.79,2807.79,2868.09,9247
2023.03.14,2866.46,2875.88,2839.23,2848.12,5497
2023.03.15,2847.37,2935.71,2826.29,2897.25,16897
2023.03.16,2897.39,2915.6,2872.3,2881.21,7043
2023.03.17,2883.48,2966.11,2871.42,2964.92,10795
2023.03.20,2956.1,3005.22,2927.28,2943.87,14366
2023.03.21,2943.48,2965.85,2904.07,2906.6,8669
2023.03.22,2905.95,2953.57,2889.39,2944.55,8977
2023.03.23,2945.2,2996.9,2929.89,2980.19,9904
2023.03.24,2978.06,3020.73,2968.61,2976.7,10289
2023.03.27,2977.4,2978.3,2922.29,2939.6,7423
2023.03.28,2940.48,2947.36,2918.19,2940.65,5818
2023.03.29,2940.45,2951.48,2933.12,2936.9,3318
2023.03.30,2936.19,2959.02,2926.86,2948.09,5243
2023.03.31,2949.17,2967.05,2941.74,2945.1,4656
2023.04.03,2945.9,2948.41,2917.14,2922.62,3927
2023.04.04,2923.9,3006.5,2916.44,2991.8,11223
2023.04.05,2991,3029.69,2979.6,3004.5,8669
2023.04.06,3004.58,3022.36,2998.48,3007.22,4513
2023.04.10,2995.92,3013,2985.74,2995.9,5451
2023.04.11,2997.31,3018.51,2989.56,3008.8,4642
2023.04.12,3009.55,3033.85,2990.92,3008.1,8442
2023.04.13,3008.87,3026.71,3000.71,3005.64,4878
2023.04.14,3006.7,3017.2,2970.75,2984.9,7111
2023.04.17,2981.4,3003.47,2963.4,2977.06,7581
2023.04.18,2975.77,2989.99,2961.34,2977.8,5528
2023.04.19,2978.84,2983.24,2937.89,2969.9,8177
2023.04.20,2969.39,2989.86,2957.56,2971.65,6235
2023.04.21,2971.01,2981.87,2950.46,2961.6,5342
2023.04.24,2958.8,2976.7,2957.04,2970.1,2803
2023.04.25,2968.95,3026.92,2968.95,3012.85,7205
2023.04.26,3011.9,3039.8,3002.11,3009.9,7339
2023.04.27,3011.7,3027.71,2991.03,2996.18,5785
2023.04.28,2998.03,3022.68,2991.42,3006.4,5416
2023.05.01,3006.8,3013.48,2978.7,2987.4,5017
2023.05.02,2988.23,3028.16,2951.64,3025.71,11557
2023.05.03,3024.95,3056.55,3015.5,3053.65,5341
2023.05.04,3062.92,3101.42,3042.08,3062.23,11800
2023.05.05,3060.55,3061.36,2970.56,2984.5,10556
2023.05.08,2983.47,2992.98,2968.05,2979.53,4593
2023.05.09,2979,3015.14,2978.62,3006.1,4595
2023.05.10,3008.02,3015.52,2989.59,2992.21,3606
2023.05.11,2993.49,3030.8,2993.04,3005.8,6322
2023.05.12,3005,3036.43,2992.8,3025.1,6717
2023.05.15,3019.9,3030.41,3006.32,3007.49,3578
2023.05.16,3006.22,3018.35,2982.94,2986.1,5071
2023.05.17,2987.13,2999.06,2969.49,2974.86,4688
2023.05.18,2973.44,2991.86,2953.59,2954.75,5786
2023.05.19,2955.26,2980.4,2940.23,2971.4,6421
2023.05.22,2972.46,2984.71,2961.9,2961.9,3507
2023.05.23,2963.05,2992.3,2945.72,2985.7,7052
2023.05.24,2986.36,3018.1,2984.79,2988.1,6489
2023.05.25,2990.36,3007.81,2974.61,2982.5,5855
2023.05.26,2981.3,3002.5,2978.18,2985.8,4415
2023.05.29,2975.75,2982.52,2969.62,2971,2106
2023.05.30,2971,3015.83,2964.85,3003.8,6917
2023.05.31,3004.95,3050.55,2993.74,3015.2,10338
2023.06.01,3016.73,3030.36,3004.11,3006.63,4241
2023.06.02,3006.99,3008.29,2946.58,2948.1,6454
2023.06.05,2948.4,2967.3,2938.64,2962.3,4343
2023.06.06,2963.46,2967.1,2930.11,2940.6,5113
2023.06.07,2942.26,2946.66,2913.68,2913.68,3739
2023.06.08,2915.07,2935.88,2910.86,2925.81,3931
2023.06.09,2927.36,2934.69,2906.11,2906.29,3610
2023.06.12,2904.5,2908.61,2889.95,2899.38,3221
2023.06.13,2898.18,2905.06,2865.6,2870.04,5079
2023.06.14,2871.18,2881.2,2853.55,2856.41,4054
2023.06.15,2856.69,2862.25,2831.4,2843.02,4804
2023.06.16,2843.38,2860.87,2841.31,2844.4,3811
2023.06.19,2844.4,2860.4,2840.91,2847.4,3599
2023.06.20,2845.83,2881.37,2844.22,2850.9,6924
2023.06.21,2851.66,2862.9,2841.22,2841.41,3312
2023.06.22,2842.41,2856.91,2830.58,2832.41,4267
2023.06.23,2831.28,2901.41,2829.69,2873.7,10103
2023.06.26,2880.32,2897.82,2876.86,2880.75,4150
2023.06.27,2880.11,2883.58,2857.15,2861.45,3421
2023.06.28,2861.66,2894.4,2861.16,2888.29,3986
2023.06.29,2888.4,2894.31,2866.58,2883.5,5057
2023.06.30,2883.06,2890.3,2871.1,2879.4,3475
2023.07.03,2879.8,2890.64,2868.82,2878.47,4232
2023.07.04,2878.5,2897.09,2872.5,2873.1,4379
2023.07.05,2876.53,2895.92,2875.88,2877.58,3904
2023.07.06,2876.82,2890.63,2865.94,2883.59,4262
2023.07.07,2882.72,2901.13,2875.09,2875.09,4446
2023.07.10,2876.48,2899.7,2874.35,2883.8,4339
2023.07.11,2882.87,2907.5,2878.37,2889.03,5211
2023.07.12,2889.06,2896.18,2877.71,2882.66,3055
2023.07.13,2881.79,2884.77,2841.91,2845.35,4929
2023.07.14,2845,2866.25,2841.96,2856.99,3660
2023.07.17,2857.15,2876.66,2854.04,2867.65,3475
2023.07.18,2866.18,2908.64,2865.6,2904.24,4803
2023.07.19,2904.06,2924.8,2899.42,2918.36,3647
2023.07.20,2917.78,2923.05,2895.35,2904.68,4231
2023.07.21,2904.09,2919.8,2902.1,2913.1,2640
2023.07.24,2911.5,2922.44,2898.12,2899.45,3660
2023.07.25,2899.46,2909.09,2885.2,2892.55,4088
2023.07.26,2892.16,2930.13,2891.9,2917.8,5083
2023.07.27,2916.12,2920.87,2879.86,2899.4,6531
2023.07.28,2899.75,2948.11,2899.49,2945.35,5165
2023.07.31,2944,2946.13,2915.68,2924.9,4181
2023.08.01,2924.77,2952.97,2921.3,2939.65,4847
2023.08.02,2941.85,2969.47,2939.11,2957.79,4479
2023.08.03,2957.72,2973.99,2947.24,2952.45,4824
2023.08.04,2951.55,2958.68,2939.21,2954.9,3560
2023.08.07,2954.6,2961.4,2942.74,2945.25,2798
2023.08.08,2944.55,2971.52,2940.67,2941.45,5861
2023.08.09,2940.45,2948.69,2928.81,2931.6,3092
2023.08.10,2931.24,2936.81,2912.85,2935.1,4407
2023.08.11,2933.61,2951.49,2931.3,2944.75,2925
2023.08.14,2943.8,2960.9,2939.4,2939.45,3866
2023.08.15,2938.95,2950.3,2922.45,2945.35,4931
2023.08.16,2944.43,2956.95,2939.68,2943.09,3321
2023.08.17,2944.01,2971.25,2939.25,2950.25,5777
2023.08.18,2949.42,2966.35,2943.32,2948.75,4540
2023.08.21,2948.75,2960.92,2943.9,2953.8,2900
2023.08.22,2953,2959.65,2944.53,2953.35,2990
2023.08.23,2952.93,2975.48,2947.41,2954.55,5453
2023.08.24,2954.45,2990.27,2954.3,2986.35,4005
2023.08.25,2985.31,2990.02,2975.85,2988.75,2491
2023.08.28,2985.1,2998.33,2976.85,2986.2,4187
2023.08.29,2985.4,3003.94,2980.16,2989.3,4367
2023.08.30,2989.3,3004.49,2984.93,2998.3,3013
2023.08.31,2999.1,3007.92,2990.6,2991.2,2675
2023.09.01,2990.39,3010.05,2989.34,3004.2,2762
2023.09.04,3007.3,3011.07,2998,3000.2,1905
2023.09.05,2998.8,3039.93,2998.2,3018.65,6362
2023.09.06,3018.71,3027.99,3001.65,3002,3598
2023.09.07,3002.6,3016.64,3001.81,3010.35,2192
2023.09.08,3008.33,3019.88,3003.3,3006.05,3089
2023.09.11,3006.4,3008.5,2984.92,2988.73,2950
2023.09.12,2988.11,2993.98,2973.14,2977.4,3098
2023.09.13,2976.3,2987.52,2969.04,2970.76,3143
2023.09.14,2971.14,2973.86,2950.72,2966.55,4170
2023.09.15,2966.14,2997.12,2959.88,2989.5,5113
2023.09.18,2990.17,3004.84,2985.47,3003.82,2510
2023.09.19,3003.82,3005.97,2986.97,2992.25,2644
2023.09.20,2992.85,3003.43,2976.46,2993.25,5355
2023.09.21,2992.87,3012.25,2983.94,2992.25,5601
2023.09.22,2991.19,3002.86,2980.91,2987.25,3997
2023.09.25,2987.2,2999.97,2981.12,2982.2,3271
2023.09.26,2981.65,2992.1,2966.01,2970.6,4114
2023.09.27,2969.76,2977.69,2946.24,2951.5,4465
2023.09.28,2952.41,2958.65,2897.82,2901.5,7076
2023.09.29,2901.94,2906.12,2869.35,2870.9,4251
2023.10.02,2866.93,2880.4,2860.4,2872.3,3464
2023.10.03,2872.46,2903.48,2861.9,2892.45,6318
2023.10.04,2891.25,2897.89,2873.43,2878.95,3663
2023.10.05,2876.84,2882.04,2854.93,2857.1,3449
2023.10.06,2855.67,2882,2855.67,2868,4034
2023.10.09,2899.2,2920.99,2891.69,2903.3,5451
2023.10.10,2902.15,2905.78,2891.17,2892.15,1923
2023.10.11,2891.55,2930.89,2888.25,2921.95,5489
2023.10.12,2921.95,2963.31,2919,2959.45,5113
2023.10.13,2958.2,3068.6,2956.09,3067.5,11573
2023.10.16,3058.85,3058.85,3017.14,3026.8,5138
2023.10.17,3026.88,3043.29,3009.28,3020.8,6195
2023.10.18,3020.24,3085.69,3020.22,3073.45,7774
2023.10.19,3072.31,3124.77,3072.1,3119.4,5826
2023.10.20,3119.3,3160.42,3117.2,3135.6,7015
2023.10.23,3113.8,3145.04,3110.46,3113.35,6872
2023.10.24,3112.05,3118.6,3074.4,3101,7736
2023.10.25,3100.72,3147.65,3084.97,3137.75,8834
2023.10.26,3137.46,3169.33,3125.7,3139.05,8568
2023.10.27,3136.35,3173.06,3111.51,3166,9346
2023.10.30,3160.75,3164.92,3125.6,3131.1,4900
2023.10.31,3129.93,3165.51,3123.62,3130,8372
2023.11.01,3129.21,3134.24,3093.2,3100,5288
2023.11.02,3096.59,3098.75,3079.09,3086,2874
2023.11.03,3085.44,3092.06,3054.94,3057.6,4641
2023.11.06,3059.05,3061.79,3043.3,3047.55,2549
2023.11.07,3046.35,3069.85,3032.06,3059.05,6289
2023.11.08,3058.16,3064.36,3041.19,3045.6,3379
2023.11.09,3045.27,3076.28,3034.35,3075.65,5349
2023.11.10,3075.9,3085.02,3041.2,3046.55,5830
2023.11.13,3046,3053.58,3033.9,3051.4,3397
2023.11.14,3051.36,3058.02,3015.1,3016.3,5079
2023.11.15,3016.8,3032.07,3004.46,3009.75,4818
2023.11.16,3009.76,3070.62,3008.08,3061.35,7350
2023.11.17,3059.55,3074.24,3038.6,3038.7,5044
2023.11.20,3034.7,3039.78,3001.95,3016.05,5702
2023.11.21,3014.4,3056.04,3013.69,3047.55,5156
2023.11.22,3047.3,3066.72,3038.2,3041.05,5080
2023.11.23,3039.65,3048.17,3031.6,3035.5,2900
2023.11.24,3037,3047.51,3032.38,3037.2,3007
2023.11.27,3040.58,3063.99,3038.54,3048.1,4339
2023.11.28,3048.1,3074.26,3039.55,3069,4853
2023.11.29,3068.4,3092.08,3066.7,3088.9,3027
2023.11.30,3088.95,3096.85,3071.48,3082.4,4420
2023.12.01,3081.65,3109.75,3076.93,3102.95,4435
2023.12.04,3103.42,3196.34,3055.05,3065.33,24450
2023.12.05,3063.85,3099.7,3063.85,3081.55,5401
2023.12.06,3079.82,3097.6,3065.85,3092.45,5088
2023.12.07,3092.45,3107.84,3064.16,3072.15,6707
2023.12.08,3072,3079.36,3035,3045,6173
2023.12.11,3043.85,3055.15,3010.17,3017.25,6337
2023.12.12,3017.15,3031.35,3009.72,3017.35,4307
2023.12.13,3017.37,3043.9,3007.04,3042.95,4815
2023.12.14,3040.95,3054.16,3021.4,3039.15,6373
2023.12.15,3039.85,3046.66,3005.31,3010.4,5326
2023.12.18,3011.45,3033.97,3004.15,3022.25,4885
2023.12.19,3021.66,3025.42,3007.21,3016.6,3137
2023.12.20,3016.3,3021.96,2999.06,3017.5,4461
2023.12.21,3015.95,3021.68,3004.16,3007.2,2630
2023.12.22,3007.2,3037.05,3007.2,3016.8,5011
2023.12.26,3015.45,3034.17,3014.79,3029.65,2457
2023.12.27,3029.2,3042.8,3018.24,3034.1,4423
2023.12.28,3034.21,3051.91,3022.79,3024.2,4824
2023.12.29,3025.35,3041.95,3018.24,3026.6,4618
2024.01.02,3030.78,3053.5,3028.31,3045,3617
2024.01.03,3042.82,3057.63,3021.6,3032.3,6155
2024.01.04,3031.03,3051.43,3028.1,3046.35,3135
2024.01.05,3046.9,3060.22,3039.47,3045,3961
2024.01.08,3044.26,3046.99,3013.9,3017.3,3923
2024.01.09,3016.9,3047.5,3016.81,3035.45,4284
2024.01.10,3035.67,3039.95,3016.74,3020.95,3171
2024.01.11,3020.77,3048.86,3018.9,3032.44,4826
2024.01.12,3032.59,3070.8,3028.57,3063.25,5381
2024.01.15,3061.38,3087.5,3059.64,3084.85,3226
2024.01.16,3083.24,3100,3074.8,3080.2,4737
2024.01.17,3078.23,3093.7,3061.15,3061.55,4843
2024.01.18,3060.14,3080.36,3058.6,3077.35,2632
2024.01.19,3077.37,3089.9,3070.35,3074.95,3669
2024.01.22,3073.49,3078.74,3061.5,3076.8,3118
2024.01.23,3077.05,3091,3063.55,3083.29,4867
2024.01.24,3083.39,3086.17,3050.35,3061.55,4981
2024.01.25,3062.03,3072.55,3055.34,3068.7,2776
2024.01.26,3067.2,3073.23,3059.2,3069.15,2612
2024.01.29,3078.35,3087.11,3067.09,3074.15,3585
2024.01.30,3073.71,3104.57,3068,3084.8,6206
2024.01.31,3084.85,3109.39,3084.4,3104.8,3004
2024.02.01,3105.46,3145.15,3102.98,3126.4,6341
2024.02.02,3126.2,3131.75,3102.12,3131.05,5442
2024.02.05,3132.67,3143.05,3104.2,3123.18,6822
2024.02.06,3122.6,3131.2,3107.28,3120.7,4595
2024.02.07,3120.7,3130.19,3111.36,3120.8,3757
2024.02.08,3120.79,3134.3,3113.55,3133.65,2865
2024.02.09,3132.17,3134.71,3098.81,3101.35,4099
2024.02.12,3102.03,3108.2,3080.98,3092.7,4512
2024.02.13,3092.18,3116.21,3080.65,3088.05,6700
2024.02.14,3086.4,3089.65,3064.21,3068.6,3309
2024.02.15,3067.15,3079.51,3063.19,3071.45,2835
2024.02.16,3070.6,3082.74,3067.65,3079.05,2174
2024.02.19,3081.65,3094.61,3077.47,3085.15,3079
2024.02.20,3085.05,3096.59,3082.56,3090.5,2262
2024.02.21,3090.43,3099.33,3086.43,3091.8,2444
2024.02.22,3091.1,3099.01,3080.86,3087,3221
2024.02.23,3085.85,3108.1,3071.82,3098.8,5962
2024.02.26,3096.3,3109.17,3094.93,3105.25,1954
2024.02.27,3105.4,3116.4,3100.42,3101.95,2852
2024.02.28,3100.15,3136.07,3099.45,3131.05,4235
2024.02.29,3130.86,3150.84,3121.14,3145.45,4482
2024.03.01,3145.05,3197.83,3139.61,3189.2,7230
2024.03.04,3186.52,3253.95,3186.51,3247.2,7421
2024.03.05,3247.03,3296.28,3243.79,3271.45,8057
2024.03.06,3271.68,3280.2,3256.5,3271.7,4739
2024.03.07,3269.55,3282.2,3249.5,3262.25,5811
2024.03.08,3262,3311.27,3251.85,3286.84,9401
2024.03.11,3287.6,3311.2,3287.6,3299.55,3526
2024.03.12,3299.45,3303.6,3257.24,3266.45,5973
2024.03.13,3265.69,3287.39,3261.87,3283.15,3359
2024.03.14,3282.36,3289.3,3267.04,3284.9,4199
2024.03.15,3284.62,3309.27,3283.5,3284.1,5103
2024.03.18,3278.5,3297.44,3267.55,3292.95,4534
2024.03.19,3292.59,3312.21,3291.95,3302.95,3017
2024.03.20,3302.25,3325.1,3297.55,3319.15,3821
2024.03.21,3320.75,3372.05,3300.5,3319.65,14201
2024.03.22,3319.24,3339.64,3309.07,3322.1,5829
2024.03.25,3323.63,3332.75,3315.52,3320.1,3094
2024.03.26,3319.37,3354.95,3310.71,3334.75,7311
2024.03.27,3331.8,3366.3,3331.07,3358.25,4402
2024.03.28,3358.9,3431.1,3351.5,3427.7,9041
2024.04.01,3434.34,3472.09,3422.07,3469.7,6469
2024.04.02,3467.09,3499.53,3457.85,3498.75,5171
2024.04.03,3496.56,3511.46,3478.95,3501.68,5991
2024.04.04,3502,3507.04,3454.21,3477.7,8137
2024.04.05,3476.4,3540.91,3446,3539.45,12678
2024.04.08,3534.1,3574,3506.75,3541.35,12726
2024.04.09,3540.35,3574.55,3531.8,3549.5,7636
2024.04.10,3548.95,3603.5,3538.95,3583.85,9421
2024.04.11,3584.35,3636.75,3566.9,3628.65,9541
2024.04.12,3626.5,3755.75,3614.46,3625.4,28149
2024.04.15,3644.61,3706.3,3601.24,3699.6,15514
2024.04.16,3696.45,3742.95,3682.3,3721,9676
2024.04.17,3717.8,3730.65,3659.25,3667.35,9236
2024.04.18,3666.75,3719.3,3666.2,3705.2,6776
2024.04.19,3702.35,3793.75,3699.2,3723.4,16806
2024.04.22,3715.6,3720.12,3603.24,3607.75,12592
2024.04.23,3607.21,3618.8,3556.7,3579.15,9615
2024.04.24,3578.11,3600.27,3550.63,3563.6,8478
2024.04.25,3561.8,3602.7,3544.7,3576.95,10086
2024.04.26,3574.4,3595.74,3563.95,3577.25,6074
2024.04.29,3574.1,3574.1,3539.35,3556.15,5156
2024.04.30,3554.85,3568.16,3529,3530.4,5388
2024.05.01,3529.39,3563.74,3525.57,3554.2,5154
2024.05.02,3550.11,3565.17,3501.33,3507.95,8553
2024.05.03,3506.98,3510.37,3436.8,3480.25,12042
2024.05.06,3481.6,3516.75,3467.3,3507.2,7331
2024.05.07,3507.25,3522.07,3493.8,3506.9,5620
2024.05.08,3505.4,3534.2,3505.15,3508.1,5541
2024.05.09,3506.6,3545.44,3505.75,3543.7,4229
2024.05.10,3542.08,3598.05,3540.3,3573.15,8444
2024.05.13,3576.27,3585.47,3529.45,3535.05,7083
2024.05.14,3533.25,3561.94,3533.25,3557.55,3309
2024.05.15,3556.75,3573.3,3544.76,3564.05,4979
2024.05.16,3562.41,3583.95,3551.3,3557.95,6085
2024.05.17,3557.91,3618.19,3556.6,3606.95,7415
2024.05.20,3615.47,3657,3607.04,3638.5,7690
2024.05.21,3637.1,3647,3615.64,3631.35,5698
2024.05.22,3630.22,3634,3589.99,3592.3,5011
2024.05.23,3592.82,3599.56,3522.61,3524.7,8579
2024.05.24,3523.31,3546.06,3514.9,3520.3,5932
2024.05.27,3522.44,3542.8,3515.81,3531.6,4483
2024.05.28,3529.55,3550.95,3513.4,3550.8,5386
2024.05.29,3549.05,3553.71,3520.45,3536.05,5353
2024.05.30,3534.19,3541.7,3521.15,3532.05,3897
2024.05.31,3531.28,3540.09,3492.3,3497.55,6186
2024.06.03,3497.29,3529.33,3484.69,3513.5,7308
2024.06.04,3513.37,3527.18,3485.88,3498.7,6794
2024.06.05,3496.79,3547.9,3496.26,3542.7,5738
2024.06.06,3542.65,3570.97,3533.7,3563.6,5360
2024.06.07,3562.29,3577.63,3475.09,3484.85,12765
2024.06.10,3485.35,3502.83,3470.7,3495.1,5452
2024.06.11,3496.64,3514.62,3481.3,3506.55,5674
2024.06.12,3505.52,3507.56,3466.09,3488.15,6558
2024.06.13,3486.77,3490.3,3459.13,3471.7,4728
2024.06.14,3470.83,3538.78,3469.85,3525.2,8350
2024.06.17,3521.93,3531.21,3500.48,3506.1,4564
2024.06.18,3505.39,3520.78,3485.4,3499.15,6453
2024.06.19,3497.6,3500.02,3482.79,3489.15,2602
2024.06.20,3487.96,3547.92,3487.46,3545.25,6364
2024.06.21,3545.17,3559.61,3489.55,3495.15,9011
2024.06.24,3494.01,3508.38,3487.72,3506.65,2869
2024.06.25,3504.02,3507.97,3483.18,3488.9,3447
2024.06.26,3486.5,3500.55,3449.12,3456.8,7317
2024.06.27,3455.23,3503.71,3445.33,3501.8,7020
2024.06.28,3500.26,3513.93,3478.2,3487.1,5831
2024.07.01,3481.07,3505.91,3474.62,3500.45,4321
2024.07.02,3499.95,3512.74,3484.2,3493.3,5044
